locus_tag	old_locus_tag	start	end	width	category	category_name	big_category	big_category_name
SACI_RS02500	Saci_0521	430465	430538	73	NA	NA	NA	NA
SACI_RS02505	Saci_0522	430670	430742	72	NA	NA	NA	NA
SACI_RS02510	Saci_0523	431631	431930	299	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02515	Saci_0524	431941	432504	563	NA	NA	NA	NA
SACI_RS02520	Saci_0525	432501	433196	695	C	Energy production and conversion	3	METABOLISM
SACI_RS02525	Saci_0526	433208	434512	1304	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS02530	Saci_0527	434491	435201	710	NA	NA	NA	NA
SACI_RS02535	Saci_0529	435514	436092	578	NA	NA	NA	NA
SACI_RS02540	Saci_0530	436289	437026	737	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS02545	Saci_0531	437017	437649	632	P	Inorganic ion transport and metabolism	3	METABOLISM
SACI_RS02550	Saci_0532	438205	438699	494	NA	NA	NA	NA
SACI_RS02555	Saci_0533	438773	439246	473	NA	NA	NA	NA
SACI_RS02560	Saci_0535	439307	439906	599	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS02565	Saci_0537	440363	440438	75	NA	NA	NA	NA
SACI_RS02570	Saci_0538	440555	440959	404	NA	NA	NA	NA
SACI_RS02575	Saci_0539	441021	442124	1103	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02580	Saci_0540	442196	442268	72	NA	NA	NA	NA
SACI_RS11805		442342	442446	104	NA	NA	NA	NA
SACI_RS02585	Saci_0542	442601	443578	977	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS02590	Saci_0543	443595	444197	602	Q	Secondary metabolites biosynthesis, transport and catabolism	3	METABOLISM
SACI_RS02595	Saci_0544	444223	444813	590	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02600	Saci_0545	444798	445265	467	T	Signal transduction mechanisms	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS02605	Saci_0546	445336	446121	785	T	Signal transduction mechanisms	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS02610	Saci_0547	446113	446949	836	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS02615	Saci_0548	446949	447515	566	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS02620	Saci_0549	447582	449033	1451	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS02625	Saci_0550	449020	449487	467	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02630	Saci_0552	449509	450867	1358	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02635	Saci_0553	450973	451836	863	NA	NA	NA	NA
SACI_RS02640	Saci_0554	451833	452897	1064	NA	NA	NA	NA
SACI_RS02645	Saci_0555	452874	453314	440	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS02650	Saci_0556	453329	454336	1007	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02655	Saci_0557	454323	455327	1004	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS02660	Saci_0558	455333	456616	1283	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS02665	Saci_0559	456672	457448	776	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02670	Saci_0560	457402	458550	1148	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS02675	Saci_0561	458630	458720	90	NA	NA	NA	NA
SACI_RS02680	Saci_0563	458836	458927	91	NA	NA	NA	NA
SACI_RS02685	Saci_0564	459116	459649	533	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS02690	Saci_0565	459626	460045	419	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS11810	Saci_0567	460159	460317	158	NA	NA	NA	NA
SACI_RS02695	Saci_0568	460333	461115	782	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS02700	Saci_0569	461116	461352	236	NA	NA	NA	NA
SACI_RS02705	Saci_0570	461381	461929	548	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS02710	Saci_0571	461926	462189	263	NA	NA	NA	NA
SACI_RS02715		462212	462646	434	NA	NA	NA	NA
SACI_RS02720	Saci_0573	462661	463245	584	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS02725	Saci_0574	463249	464640	1391	U	Intracellular trafficking, secretion, and vesicular transport	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS02730	Saci_0575	464657	465091	434	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02735	Saci_0576	465093	465563	470	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02740	Saci_0577	465560	466204	644	NA	NA	NA	NA
SACI_RS02745	Saci_0578	466206	466799	593	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02750	Saci_0579	466803	467255	452	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02755	Saci_0580	467261	467656	395	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02760	Saci_0581	467640	468200	560	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02765	Saci_0582	468215	468616	401	NA	NA	NA	NA
SACI_RS11545	Saci_0583	468623	468787	164	NA	NA	NA	NA
SACI_RS02770	Saci_0584	468792	469328	536	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02775	Saci_0585	469325	470059	734	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02780	Saci_0586	470061	470465	404	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02785	Saci_0587	470467	470883	416	NA	NA	NA	NA
SACI_RS02790	Saci_0588	470885	471229	344	NA	NA	NA	NA
SACI_RS02795	Saci_0589	471222	471461	239	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02800	Saci_0590	471463	471672	209	NA	NA	NA	NA
SACI_RS02805	Saci_0591	471656	472351	695	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02810	Saci_0592	472355	472825	470	NA	NA	NA	NA
SACI_RS02815	Saci_0593	472829	473251	422	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02820	Saci_0594	473298	474014	716	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02825	Saci_0595	474026	474274	248	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02830	Saci_0596	474271	475071	800	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02835	Saci_0597	475075	476103	1028	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02840	Saci_0598	476159	476911	752	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS02845	Saci_0599	476895	480047	3152	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02850	Saci_0600	480116	481129	1013	C	Energy production and conversion	3	METABOLISM
SACI_RS02855	Saci_0601	481139	481741	602	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS02860	Saci_0602	481827	482549	722	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS02865	Saci_0603	482557	484770	2213	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02870	Saci_0604	484969	485679	710	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02875	Saci_0605	485705	486082	377	NA	NA	NA	NA
SACI_RS02880	Saci_0606	486079	486312	233	NA	NA	NA	NA
SACI_RS02885	Saci_0607	486290	486811	521	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02890	Saci_0608	486819	487031	212	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02895	Saci_0609	487042	487872	830	NA	NA	NA	NA
SACI_RS02900	Saci_0610	487876	488607	731	NA	NA	NA	NA
SACI_RS02905	Saci_0611	488573	489322	749	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02910	Saci_0612	489324	490025	701	NA	NA	NA	NA
SACI_RS02915	Saci_0613	490043	490771	728	NA	NA	NA	NA
SACI_RS02920	Saci_0614	490869	491291	422	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02925	Saci_0615	491288	491839	551	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02930	Saci_0616	491814	492248	434	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02935	Saci_0617	492245	492898	653	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02940	Saci_0618	492962	494164	1202	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02945	Saci_0619	494154	495371	1217	M	Cell wall/membrane/envelope biogenesis	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS02950	Saci_0620	495383	495976	593	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02955	Saci_0621	496001	496708	707	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02960	Saci_0622	496683	497285	602	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02965	Saci_0623	497237	497905	668	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02970	Saci_0624	497902	498528	626	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02975	Saci_0625	498566	498910	344	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02980	Saci_0626	498931	499242	311	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS02985	Saci_0628	499438	499521	83	NA	NA	NA	NA
SACI_RS11555		499991	500131	140	NA	NA	NA	NA
SACI_RS02995	Saci_0630	500217	501218	1001	NA	NA	NA	NA
SACI_RS03000	Saci_0631	501453	501749	296	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS03005	Saci_0632	501780	502556	776	NA	NA	NA	NA
SACI_RS03010	Saci_0633	502540	504141	1601	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03015	Saci_0634	504559	505209	650	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03020	Saci_0635	505247	505558	311	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03025	Saci_0636	505871	506143	272	NA	NA	NA	NA
SACI_RS03030	Saci_0637	506140	507417	1277	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03035	Saci_0638	507527	507601	74	NA	NA	NA	NA
SACI_RS03040	Saci_0639	507676	509571	1895	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS03045	Saci_0640	509652	510707	1055	C	Energy production and conversion	3	METABOLISM
SACI_RS03050	Saci_0641	510704	511405	701	O	Posttranslational modification, protein turnover, chaperones	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS03055	Saci_0642	511503	511688	185	NA	NA	NA	NA
SACI_RS03060	Saci_0643	511688	512596	908	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS03065	Saci_0644	512631	512740	109	NA	NA	NA	NA
SACI_RS03070	Saci_0645	512779	512878	99	NA	NA	NA	NA
SACI_RS03075	Saci_0646	513073	514320	1247	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS03080	Saci_0647	514426	515073	647	M	Cell wall/membrane/envelope biogenesis	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS03085	Saci_0648	515202	515293	91	NA	NA	NA	NA
SACI_RS03090	Saci_0649	515706	515780	74	NA	NA	NA	NA
SACI_RS03095	Saci_0650	515799	516257	458	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS03100	Saci_0651	516250	517209	959	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03105	Saci_0652	517187	517702	515	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03110	Saci_0653	517716	518114	398	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS03115	Saci_0654	518264	519322	1058	NA	NA	NA	NA
SACI_RS03120	Saci_0655	519319	519810	491	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03125	Saci_0656	519882	521072	1190	NA	NA	NA	NA
SACI_RS03130	Saci_0657	521069	521575	506	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03135	Saci_0658	521575	522297	722	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS03140	Saci_0659	522241	523734	1493	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03145	Saci_0660	523739	524173	434	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03150	Saci_0661	524244	524618	374	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03155	Saci_0662	524615	525202	587	O	Posttranslational modification, protein turnover, chaperones	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS03160	Saci_0663	525232	526518	1286	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03165	Saci_0664	526525	526800	275	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03170	Saci_0665	526865	527452	587	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03175	Saci_0666	527522	529183	1661	NA	NA	NA	NA
SACI_RS03180	Saci_0667	529180	530820	1640	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03190	Saci_0669	531229	531483	254	O	Posttranslational modification, protein turnover, chaperones	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS03195	Saci_0670	531486	531734	248	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03200	Saci_0671	531780	532937	1157	G	Carbohydrate transport and metabolism	3	METABOLISM
SACI_RS03205	Saci_0672	532970	534784	1814	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS03210	Saci_0674	535180	535254	74	NA	NA	NA	NA
SACI_RS03215	Saci_0675	535612	536928	1316	G	Carbohydrate transport and metabolism	3	METABOLISM
SACI_RS03230	Saci_0679	539319	540533	1214	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS03235	Saci_0680	540470	541363	893	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS03240	Saci_0681	541758	542003	245	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS11570		542365	542577	212	NA	NA	NA	NA
SACI_RS03245	Saci_0683	542559	542643	84	NA	NA	NA	NA
SACI_RS03250	Saci_0684	542684	542992	308	NA	NA	NA	NA
SACI_RS03255	Saci_0685	543018	544325	1307	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03260	Saci_0686	544383	544970	587	NA	NA	NA	NA
SACI_RS03265	Saci_0687	545052	545543	491	NA	NA	NA	NA
SACI_RS03270	Saci_0688	545617	546060	443	NA	NA	NA	NA
SACI_RS03275	Saci_0689	546074	546505	431	NA	NA	NA	NA
SACI_RS03280	Saci_0690	546506	546820	314	NA	NA	NA	NA
SACI_RS03285	Saci_0691	546828	548009	1181	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03290	Saci_0692	548014	550656	2642	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03295	Saci_0693	550649	554029	3380	NA	NA	NA	NA
SACI_RS03300	Saci_0694	554034	554288	254	NA	NA	NA	NA
SACI_RS03305	Saci_0695	554494	556302	1808	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03310	Saci_0696	556271	556708	437	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS03315	Saci_0697	556705	556893	188	NA	NA	NA	NA
SACI_RS03320	Saci_0698	556957	557211	254	NA	NA	NA	NA
SACI_RS03325	Saci_0699	557216	557866	650	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS03330	Saci_0700	557908	559326	1418	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03335	Saci_0701	559395	560132	737	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS03340	Saci_0702	560129	560707	578	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS03345	Saci_0703	560743	562497	1754	NA	NA	NA	NA
SACI_RS03350	Saci_0704	562567	563496	929	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS03355	Saci_0705	563514	563615	101	NA	NA	NA	NA
SACI_RS03360	Saci_0706	563647	565005	1358	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS03365	Saci_0707	565047	566048	1001	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS03370	Saci_0708	566045	567094	1049	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS03375	Saci_0709	567223	568236	1013	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS03380	Saci_0710	568239	569642	1403	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS03385	Saci_0711	569680	570645	965	NA	NA	NA	NA
SACI_RS03390	Saci_0712	570623	571459	836	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS03395	Saci_0713	571467	572681	1214	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS03400	Saci_0714	572709	573227	518	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS03405	Saci_0715	573265	574230	965	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03410	Saci_0716	574292	574789	497	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03415	Saci_0717	574801	575817	1016	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03420	Saci_0718	575816	576373	557	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS03425	Saci_0719	576339	577175	836	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS03430	Saci_0720	577130	577645	515	NA	NA	NA	NA
SACI_RS03435	Saci_0721	577659	578195	536	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03440	Saci_0722	578164	579357	1193	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03445	Saci_0723	579685	579758	73	NA	NA	NA	NA
SACI_RS03450	Saci_0724	580124	581809	1685	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS11915		582313	582486	173	NA	NA	NA	NA
SACI_RS03455	Saci_0725	582782	583939	1157	G	Carbohydrate transport and metabolism	3	METABOLISM
SACI_RS03460		584094	584273	179	NA	NA	NA	NA
SACI_RS03465	Saci_0726	584239	584574	335	NA	NA	NA	NA
SACI_RS03470	Saci_0727	584714	585013	299	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03475	Saci_0728	584988	585761	773	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS03480	Saci_0729	585748	585927	179	U	Intracellular trafficking, secretion, and vesicular transport	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS11505		585938	586244	306	NA	NA	NA	NA
SACI_RS03485	Saci_0730	586235	586732	497	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS03490	Saci_0731	586789	587040	251	NA	NA	NA	NA
SACI_RS03495	Saci_0732	587163	588344	1181	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03500	Saci_0733	588683	589342	659	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS03505	Saci_0734	589347	590147	800	V	Defense mechanisms	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS03510		590261	590485	224	NA	NA	NA	NA
SACI_RS11815		590574	590774	200	NA	NA	NA	NA
SACI_RS03515	Saci_0735	590800	591231	431	NA	NA	NA	NA
SACI_RS03520	Saci_0736	591228	592064	836	V	Defense mechanisms	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS03525	Saci_0737	592061	592852	791	V	Defense mechanisms	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS03530	Saci_0738	592836	593333	497	NA	NA	NA	NA
SACI_RS03535	Saci_0739	593330	593644	314	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03540	Saci_0741	594472	594546	74	NA	NA	NA	NA
SACI_RS03545	Saci_0742	594570	594803	233	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS03550	Saci_0743	594856	595146	290	NA	NA	NA	NA
SACI_RS03555	Saci_0744	595153	596007	854	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS03560	Saci_0745	595967	596758	791	G	Carbohydrate transport and metabolism	3	METABOLISM
SACI_RS03565	Saci_0746	596755	597045	290	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS03570	Saci_0747	597219	597806	587	M	Cell wall/membrane/envelope biogenesis	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS03575	Saci_0748	597891	599684	1793	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS03580	Saci_0749	599664	600092	428	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS03585	Saci_0750	600153	601205	1052	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS03590	Saci_0751	601207	601992	785	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS03595	Saci_0752	601992	602414	422	NA	NA	NA	NA
SACI_RS03600	Saci_0753	602479	602649	170	NA	NA	NA	NA
SACI_RS03605	Saci_0754	602646	603503	857	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS03610	Saci_0755	603500	604663	1163	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS03615	Saci_0756	604611	605651	1040	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS03620	Saci_0757	605636	606424	788	NA	NA	NA	NA
SACI_RS03625	Saci_0758	606457	606843	386	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03630	Saci_0759	606840	607118	278	U	Intracellular trafficking, secretion, and vesicular transport	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS03635	Saci_0760	607121	607222	101	NA	NA	NA	NA
SACI_RS03640		607284	607526	242	NA	NA	NA	NA
SACI_RS03645	Saci_0761	607507	608436	929	M	Cell wall/membrane/envelope biogenesis	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS03650	Saci_0762	608757	608852	95	NA	NA	NA	NA
SACI_RS03655	Saci_0763	608869	610491	1622	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS03660	Saci_0764	610531	610622	91	NA	NA	NA	NA
SACI_RS03665	Saci_0765	610693	611253	560	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS03670	Saci_0766	611250	611420	170	NA	NA	NA	NA
SACI_RS03675	Saci_0767	611490	611996	506	NA	NA	NA	NA
SACI_RS03680	Saci_0768	612003	613289	1286	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03685	Saci_0769	613286	614407	1121	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03690	Saci_0770	614404	614766	362	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS11585	Saci_0771	614806	615018	212	NA	NA	NA	NA
SACI_RS03695	Saci_0772	615029	615304	275	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03700	Saci_0773	615408	617717	2309	NA	NA	NA	NA
SACI_RS03705	Saci_0774	617722	617946	224	NA	NA	NA	NA
SACI_RS03710	Saci_0775	617953	619008	1055	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03715	Saci_0776	619060	619722	662	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS03720	Saci_0777	619712	620956	1244	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS03725	Saci_0778	620910	621920	1010	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS03730	Saci_0779	621917	623179	1262	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS03735	Saci_0780	623176	624066	890	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS03740	Saci_0781	624041	624703	662	NA	NA	NA	NA
SACI_RS03745		624696	624962	266	NA	NA	NA	NA
SACI_RS03750	Saci_0782	624965	626617	1652	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS03765	Saci_0787	629075	630055	980	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03770	Saci_0788	630109	631905	1796	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03775	Saci_0789	632052	632570	518	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS03780	Saci_0790	632560	633267	707	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03785	Saci_0791	633321	634028	707	O	Posttranslational modification, protein turnover, chaperones	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS03790	Saci_0792	634077	634760	683	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS03795	Saci_0793	634729	635196	467	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS03800	Saci_0794	635196	635447	251	NA	NA	NA	NA
SACI_RS03805	Saci_0795	635498	637264	1766	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03810	Saci_0796	637298	638158	860	T	Signal transduction mechanisms	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS03815	Saci_0797	638161	639978	1817	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS03820	Saci_0798	639970	641181	1211	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS03825	Saci_0799	641214	641477	263	NA	NA	NA	NA
SACI_RS03830	Saci_0800	641612	641908	296	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03835	Saci_0801	641879	643468	1589	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS03840	Saci_0802	643557	644225	668	G	Carbohydrate transport and metabolism	3	METABOLISM
SACI_RS03845	Saci_0803	644254	644706	452	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS03850	Saci_0804	644764	645186	422	NA	NA	NA	NA
SACI_RS03855	Saci_0805	645240	645635	395	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS03860	Saci_0806	645632	646996	1364	G	Carbohydrate transport and metabolism	3	METABOLISM
SACI_RS03865	Saci_0807	647232	648290	1058	M	Cell wall/membrane/envelope biogenesis	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS11590		648585	648803	218	NA	NA	NA	NA
SACI_RS03870	Saci_0809	648769	648852	83	NA	NA	NA	NA
SACI_RS03875	Saci_0810	648880	649443	563	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS03880	Saci_0811	649445	650179	734	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
